Model,Storage,Status,Quality,Price
IPHONE 14 PLUS,512GB,locked,damaged,160
IPHONE 14 PLUS,512GB,unlocked,flawless,341.00
IPHONE 14 PLUS,512GB,unlocked,good,311.00
IPHONE 14 PLUS,512GB,unlocked,fair,231.00
IPHONE 14 PLUS,512GB,unlocked,damaged,153
IPHONE 14 PRO,1TB,locked,flawless,392.00
IPHONE 14 PRO,1TB,locked,good,361.00
IPHONE 14 PRO,1TB,locked,fair,236.00
IPHONE 14 PRO,1TB,locked,damaged,217
IPHONE 14 PRO,1TB,unlocked,flawless,451.00
IPHONE 14 PRO,1TB,unlocked,good,421.00
IPHONE 14 PRO,1TB,unlocked,fair,315.00
IPHONE 14 PRO,1TB,unlocked,damaged,243
IPHONE 14 PRO,128GB,locked,flawless,301.00
IPHONE 14 PRO,128GB,locked,good,279.00
IPHONE 14 PRO,128GB,locked,fair,177.00
IPHONE 14 PRO,128GB,locked,damaged,162
IPHONE 14 PRO,128GB,unlocked,flawless,361.00
IPHONE 14 PRO,128GB,unlocked,good,336.00
IPHONE 14 PRO,128GB,unlocked,fair,226.00
IPHONE 14 PRO,128GB,unlocked,damaged,173
IPHONE 14 PRO,256GB,locked,flawless,337.00
IPHONE 14 PRO,256GB,locked,good,321.00
IPHONE 14 PRO,256GB,locked,fair,200.00
IPHONE 14 PRO,256GB,locked,damaged,187
IPHONE 14 PRO,256GB,unlocked,flawless,391.00
IPHONE 14 PRO,256GB,unlocked,good,361.00
IPHONE 14 PRO,256GB,unlocked,fair,256.00
IPHONE 14 PRO,256GB,unlocked,damaged,193
IPHONE 14 PRO,512GB,locked,flawless,357.00
IPHONE 14 PRO,512GB,locked,good,341.00
IPHONE 14 PRO,512GB,locked,fair,216.00
IPHONE 14 PRO,512GB,locked,damaged,197
IPHONE 14 PRO,512GB,unlocked,flawless,421.00
IPHONE 14 PRO,512GB,unlocked,good,399.00
IPHONE 14 PRO,512GB,unlocked,fair,296.00
IPHONE 14 PRO,512GB,unlocked,damaged,233
IPHONE 14 PRO MAX,1TB,locked,flawless,437.00
IPHONE 14 PRO MAX,1TB,locked,good,397.00
IPHONE 14 PRO MAX,1TB,locked,fair,301.00
IPHONE 14 PRO MAX,1TB,locked,damaged,254
IPHONE 14 PRO MAX,1TB,unlocked,flawless,501.00
IPHONE 14 PRO MAX,1TB,unlocked,good,471.00
IPHONE 14 PRO MAX,1TB,unlocked,fair,385.00
IPHONE 14 PRO MAX,1TB,unlocked,damaged,283
IPHONE 14 PRO MAX,128GB,locked,flawless,338.00
IPHONE 14 PRO MAX,128GB,locked,good,306.00
IPHONE 14 PRO MAX,128GB,locked,fair,221.00
IPHONE 14 PRO MAX,128GB,locked,damaged,185
IPHONE 14 PRO MAX,128GB,unlocked,flawless,421.00
IPHONE 14 PRO MAX,128GB,unlocked,good,391.00
IPHONE 14 PRO MAX,128GB,unlocked,fair,305.00
IPHONE 14 PRO MAX,128GB,unlocked,damaged,243
IPHONE 14 PRO MAX,256GB,locked,flawless,373.00
IPHONE 14 PRO MAX,256GB,locked,good,336.00
IPHONE 14 PRO MAX,256GB,locked,fair,256.00
IPHONE 14 PRO MAX,256GB,locked,damaged,205
IPHONE 14 PRO MAX,256GB,unlocked,flawless,451.00
IPHONE 14 PRO MAX,256GB,unlocked,good,421.00
IPHONE 14 PRO MAX,256GB,unlocked,fair,335.00
IPHONE 14 PRO MAX,256GB,unlocked,damaged,243
IPHONE 14 PRO MAX,512GB,locked,flawless,392.00
IPHONE 14 PRO MAX,512GB,locked,good,367.00
IPHONE 14 PRO MAX,512GB,locked,fair,271.00
IPHONE 14 PRO MAX,512GB,locked,damaged,225
IPHONE 14 PRO MAX,512GB,unlocked,flawless,471.00
IPHONE 14 PRO MAX,512GB,unlocked,good,441.00
IPHONE 14 PRO MAX,512GB,unlocked,fair,355.00
IPHONE 14 PRO MAX,512GB,unlocked,damaged,263
IPHONE 15,128GB,locked,flawless,262.00
IPHONE 15,128GB,locked,good,228.00
IPHONE 15,128GB,locked,fair,168.00
IPHONE 15,128GB,locked,damaged,140
IPHONE 15,128GB,unlocked,flawless,356.00
IPHONE 15,128GB,unlocked,good,326.00
IPHONE 15,128GB,unlocked,fair,265.00
IPHONE 15,128GB,unlocked,damaged,158
IPHONE 15,256GB,locked,flawless,304.00
IPHONE 15,256GB,locked,good,263.00
IPHONE 15,256GB,locked,fair,208.00
IPHONE 15,256GB,locked,damaged,165
IPHONE 15,256GB,unlocked,flawless,396.00
IPHONE 15,256GB,unlocked,good,366.00
IPHONE 15,256GB,unlocked,fair,305.00
IPHONE 15,256GB,unlocked,damaged,172
IPHONE 15,512GB,locked,flawless,345.00
IPHONE 15,512GB,locked,good,306.00
IPHONE 15,512GB,locked,fair,248.00
IPHONE 15,512GB,locked,damaged,175
IPHONE 15,512GB,unlocked,flawless,436.00
IPHONE 15,512GB,unlocked,good,406.00
IPHONE 15,512GB,unlocked,fair,345.00
IPHONE 15,512GB,unlocked,damaged,207
IPHONE 15 PLUS,128GB,locked,flawless,294.00
IPHONE 15 PLUS,128GB,locked,good,255.00
IPHONE 15 PLUS,128GB,locked,fair,183.00
IPHONE 15 PLUS,128GB,locked,damaged,170
IPHONE 15 PLUS,128GB,unlocked,flawless,391.00
IPHONE 15 PLUS,128GB,unlocked,good,351.00
IPHONE 15 PLUS,128GB,unlocked,fair,281.00
IPHONE 15 PLUS,128GB,unlocked,damaged,203
IPHONE 15 PLUS,256GB,locked,flawless,350.00
IPHONE 15 PLUS,256GB,locked,good,287.00
IPHONE 15 PLUS,256GB,locked,fair,208.00
IPHONE 15 PLUS,256GB,locked,damaged,185
IPHONE 15 PLUS,256GB,unlocked,flawless,421.00
IPHONE 15 PLUS,256GB,unlocked,good,381.00
IPHONE 15 PLUS,256GB,unlocked,fair,306.00
IPHONE 15 PLUS,256GB,unlocked,damaged,223
IPHONE 15 PLUS,512GB,locked,flawless,415.00
IPHONE 15 PLUS,512GB,locked,good,366.00
IPHONE 15 PLUS,512GB,locked,fair,253.00
IPHONE 15 PLUS,512GB,locked,damaged,205
IPHONE 15 PLUS,512GB,unlocked,flawless,481.00
IPHONE 15 PLUS,512GB,unlocked,good,446.00
IPHONE 15 PLUS,512GB,unlocked,fair,351.00
IPHONE 15 PLUS,512GB,unlocked,damaged,243
IPHONE 15 PRO,1TB,locked,flawless,506.00
IPHONE 15 PRO,1TB,locked,good,471.00
IPHONE 15 PRO,1TB,locked,fair,346.00
IPHONE 15 PRO,1TB,locked,damaged,304
IPHONE 15 PRO,1TB,unlocked,flawless,585.00
IPHONE 15 PRO,1TB,unlocked,good,541.00
IPHONE 15 PRO,1TB,unlocked,fair,450.00
IPHONE 15 PRO,1TB,unlocked,damaged,320.7
IPHONE 15 PRO,128GB,locked,flawless,373.00
IPHONE 15 PRO,128GB,locked,good,331.00
IPHONE 15 PRO,128GB,locked,fair,221.00
IPHONE 15 PRO,128GB,locked,damaged,210
IPHONE 15 PRO,128GB,unlocked,flawless,463.99
IPHONE 15 PRO,128GB,unlocked,good,421.00
IPHONE 15 PRO,128GB,unlocked,fair,331.00
IPHONE 15 PRO,128GB,unlocked,damaged,250
IPHONE 15 PRO,256GB,locked,flawless,413.00
IPHONE 15 PRO,256GB,locked,good,371.00
IPHONE 15 PRO,256GB,locked,fair,261.00
IPHONE 15 PRO,256GB,locked,damaged,244
IPHONE 15 PRO,256GB,unlocked,flawless,503.99
IPHONE 15 PRO,256GB,unlocked,good,461.00
IPHONE 15 PRO,256GB,unlocked,fair,371.00
IPHONE 15 PRO,256GB,unlocked,damaged,289
IPHONE 15 PRO,512GB,locked,flawless,453.00
IPHONE 15 PRO,512GB,locked,good,411.00
IPHONE 15 PRO,512GB,locked,fair,291.00
IPHONE 15 PRO,512GB,locked,damaged,284
IPHONE 15 PRO,512GB,unlocked,flawless,525.00
IPHONE 15 PRO,512GB,unlocked,good,501.00
IPHONE 15 PRO,512GB,unlocked,fair,401.00
IPHONE 15 PRO,512GB,unlocked,damaged,329
IPHONE 15 PRO MAX,1TB,locked,flawless,510.00
IPHONE 15 PRO MAX,1TB,locked,good,471.00
IPHONE 15 PRO MAX,1TB,locked,fair,386.00
IPHONE 15 PRO MAX,1TB,locked,damaged,314
IPHONE 15 PRO MAX,1TB,unlocked,flawless,610.00
IPHONE 15 PRO MAX,1TB,unlocked,good,576.00
IPHONE 15 PRO MAX,1TB,unlocked,fair,475.00
IPHONE 15 PRO MAX,1TB,unlocked,damaged,449
IPHONE 15 PRO MAX,256GB,locked,flawless,440.00
IPHONE 15 PRO MAX,256GB,locked,good,401.00
IPHONE 15 PRO MAX,256GB,locked,fair,316.00
IPHONE 15 PRO MAX,256GB,locked,damaged,254
IPHONE 15 PRO MAX,256GB,unlocked,flawless,538.99
IPHONE 15 PRO MAX,256GB,unlocked,good,506.00
IPHONE 15 PRO MAX,256GB,unlocked,fair,421.00
IPHONE 15 PRO MAX,256GB,unlocked,damaged,374
IPHONE 15 PRO MAX,512GB,locked,flawless,470.00
IPHONE 15 PRO MAX,512GB,locked,good,431.00
IPHONE 15 PRO MAX,512GB,locked,fair,346.00
IPHONE 15 PRO MAX,512GB,locked,damaged,284
IPHONE 15 PRO MAX,512GB,unlocked,flawless,570.00
IPHONE 15 PRO MAX,512GB,unlocked,good,536.00
IPHONE 15 PRO MAX,512GB,unlocked,fair,436.00
IPHONE 15 PRO MAX,512GB,unlocked,damaged,409
IPHONE 16,128GB,locked,flawless,349.00
IPHONE 16,128GB,locked,good,295.00
IPHONE 16,128GB,locked,fair,236.00
IPHONE 16,128GB,locked,damaged,155
IPHONE 16,128GB,unlocked,flawless,453.99
IPHONE 16,128GB,unlocked,good,411.00
IPHONE 16,128GB,unlocked,fair,336.00
IPHONE 16,128GB,unlocked,damaged,239
IPHONE 16,256GB,locked,flawless,382.00
IPHONE 16,256GB,locked,good,342.00
IPHONE 16,256GB,locked,fair,268.00
IPHONE 16,256GB,locked,damaged,195
IPHONE 16,256GB,unlocked,flawless,483.99
IPHONE 16,256GB,unlocked,good,441.00
IPHONE 16,256GB,unlocked,fair,366.00
IPHONE 16,256GB,unlocked,damaged,289
IPHONE 16,512GB,locked,flawless,409.00
IPHONE 16,512GB,locked,good,360.00
IPHONE 16,512GB,locked,fair,296.00
IPHONE 16,512GB,locked,damaged,245
IPHONE 16,512GB,unlocked,flawless,515.00
IPHONE 16,512GB,unlocked,good,471.00
IPHONE 16,512GB,unlocked,fair,396.00
IPHONE 16,512GB,unlocked,damaged,339
IPHONE 16 PLUS,128GB,locked,flawless,422.00
IPHONE 16 PLUS,128GB,locked,good,381.00
IPHONE 16 PLUS,128GB,locked,fair,308.00
IPHONE 16 PLUS,128GB,locked,damaged,220
IPHONE 16 PLUS,128GB,unlocked,flawless,530.00
IPHONE 16 PLUS,128GB,unlocked,good,500.00
IPHONE 16 PLUS,128GB,unlocked,fair,406.00
IPHONE 16 PLUS,128GB,unlocked,damaged,258
IPHONE 16 PLUS,256GB,locked,flawless,459.00
IPHONE 16 PLUS,256GB,locked,good,420.00
IPHONE 16 PLUS,256GB,locked,fair,348.00
IPHONE 16 PLUS,256GB,locked,damaged,260
IPHONE 16 PLUS,256GB,unlocked,flawless,570.00
IPHONE 16 PLUS,256GB,unlocked,good,540.00
IPHONE 16 PLUS,256GB,unlocked,fair,445.00
IPHONE 16 PLUS,256GB,unlocked,damaged,318
IPHONE 16 PLUS,512GB,locked,flawless,497.00
IPHONE 16 PLUS,512GB,locked,good,456.00
IPHONE 16 PLUS,512GB,locked,fair,382.00
IPHONE 16 PLUS,512GB,locked,damaged,305
IPHONE 16 PLUS,512GB,unlocked,flawless,605.00
IPHONE 16 PLUS,512GB,unlocked,good,575.00
IPHONE 16 PLUS,512GB,unlocked,fair,480.00
IPHONE 16 PLUS,512GB,unlocked,damaged,348
IPHONE 16 PRO,1TB,locked,flawless,648.00
IPHONE 16 PRO,1TB,locked,good,596.00
IPHONE 16 PRO,1TB,locked,fair,530.00
IPHONE 16 PRO,1TB,locked,damaged,444
IPHONE 16 PRO,1TB,unlocked,flawless,803.99
IPHONE 16 PRO,1TB,unlocked,good,771.00
IPHONE 16 PRO,1TB,unlocked,fair,605.00
IPHONE 16 PRO,1TB,unlocked,damaged,444.7
IPHONE 16 PRO,128GB,locked,flawless,498.00
IPHONE 16 PRO,128GB,locked,good,461.00
IPHONE 16 PRO,128GB,locked,fair,386.00
IPHONE 16 PRO,128GB,locked,damaged,255
IPHONE 16 PRO,128GB,unlocked,flawless,553.99
IPHONE 16 PRO,128GB,unlocked,good,521.00
IPHONE 16 PRO,128GB,unlocked,fair,455.00
IPHONE 16 PRO,128GB,unlocked,damaged,315
IPHONE 16 PRO,256GB,locked,flawless,538.00
IPHONE 16 PRO,256GB,locked,good,506.00
IPHONE 16 PRO,256GB,locked,fair,430.00
IPHONE 16 PRO,256GB,locked,damaged,324
IPHONE 16 PRO,256GB,unlocked,flawless,603.99
IPHONE 16 PRO,256GB,unlocked,good,581.00
IPHONE 16 PRO,256GB,unlocked,fair,505.00
IPHONE 16 PRO,256GB,unlocked,damaged,414
IPHONE 16 PRO,512GB,locked,flawless,568.00
IPHONE 16 PRO,512GB,locked,good,536.00
IPHONE 16 PRO,512GB,locked,fair,470.00
IPHONE 16 PRO,512GB,locked,damaged,389
IPHONE 16 PRO,512GB,unlocked,flawless,683.99
IPHONE 16 PRO,512GB,unlocked,good,636.00
IPHONE 16 PRO,512GB,unlocked,fair,545.00
IPHONE 16 PRO,512GB,unlocked,damaged,484
IPHONE 16 PRO MAX,1TB,locked,flawless,778.00
IPHONE 16 PRO MAX,1TB,locked,good,726.00
IPHONE 16 PRO MAX,1TB,locked,fair,640.00
IPHONE 16 PRO MAX,1TB,locked,damaged,524
IPHONE 16 PRO MAX,1TB,unlocked,flawless,883.99
IPHONE 16 PRO MAX,1TB,unlocked,good,831.00
IPHONE 16 PRO MAX,1TB,unlocked,fair,745.00
IPHONE 16 PRO MAX,1TB,unlocked,damaged,634
IPHONE 16 PRO MAX,256GB,locked,flawless,628.00
IPHONE 16 PRO MAX,256GB,locked,good,576.00
IPHONE 16 PRO MAX,256GB,locked,fair,490.00
IPHONE 16 PRO MAX,256GB,locked,damaged,384
IPHONE 16 PRO MAX,256GB,unlocked,flawless,733.99
IPHONE 16 PRO MAX,256GB,unlocked,good,681.00
IPHONE 16 PRO MAX,256GB,unlocked,fair,595.00
IPHONE 16 PRO MAX,256GB,unlocked,damaged,494
IPHONE 16 PRO MAX,512GB,locked,flawless,688.00
IPHONE 16 PRO MAX,512GB,locked,good,636.00
IPHONE 16 PRO MAX,512GB,locked,fair,550.00
