Model,Storage,Status,Quality,Price
IPHONE 15 PRO,512GB,unlocked,flawless,525
IPHONE 15 PRO,512GB,unlocked,good,501
IPHONE 15 PRO,512GB,unlocked,fair,401
IPHONE 15 PRO,512GB,unlocked,damaged,328
IPHONE 15 PRO MAX,1TB,locked,flawless,510
IPHONE 15 PRO MAX,1TB,locked,good,471
IPHONE 15 PRO MAX,1TB,locked,fair,386
IPHONE 15 PRO MAX,1TB,locked,damaged,313
IPHONE 15 PRO MAX,1TB,unlocked,flawless,610
IPHONE 15 PRO MAX,1TB,unlocked,good,576
IPHONE 15 PRO MAX,1TB,unlocked,fair,475
IPHONE 15 PRO MAX,1TB,unlocked,damaged,448
IPHONE 15 PRO MAX,256GB,locked,flawless,440
IPHONE 15 PRO MAX,256GB,locked,good,401
IPHONE 15 PRO MAX,256GB,locked,fair,316
IPHONE 15 PRO MAX,256GB,locked,damaged,253
IPHONE 15 PRO MAX,256GB,unlocked,flawless,538.99
IPHONE 15 PRO MAX,256GB,unlocked,good,506
IPHONE 15 PRO MAX,256GB,unlocked,fair,421
IPHONE 15 PRO MAX,256GB,unlocked,damaged,373
IPHONE 15 PRO MAX,512GB,locked,flawless,470
IPHONE 15 PRO MAX,512GB,locked,good,431
IPHONE 15 PRO MAX,512GB,locked,fair,346
IPHONE 15 PRO MAX,512GB,locked,damaged,283
IPHONE 15 PRO MAX,512GB,unlocked,flawless,570
IPHONE 15 PRO MAX,512GB,unlocked,good,536
IPHONE 15 PRO MAX,512GB,unlocked,fair,436
IPHONE 15 PRO MAX,512GB,unlocked,damaged,408
IPHONE 16,128GB,locked,flawless,349
IPHONE 16,128GB,locked,good,295
IPHONE 16,128GB,locked,fair,236
IPHONE 16,128GB,locked,damaged,154
IPHONE 16,128GB,unlocked,flawless,453.99
IPHONE 16,128GB,unlocked,good,411
IPHONE 16,128GB,unlocked,fair,336
IPHONE 16,128GB,unlocked,damaged,238
IPHONE 16,256GB,locked,flawless,382
IPHONE 16,256GB,locked,good,342
IPHONE 16,256GB,locked,fair,268
IPHONE 16,256GB,locked,damaged,194
IPHONE 16,256GB,unlocked,flawless,483.99
IPHONE 16,256GB,unlocked,good,441
IPHONE 16,256GB,unlocked,fair,366
IPHONE 16,256GB,unlocked,damaged,288
IPHONE 16,512GB,locked,flawless,409
IPHONE 16,512GB,locked,good,360
IPHONE 16,512GB,locked,fair,296
IPHONE 16,512GB,locked,damaged,244
IPHONE 16,512GB,unlocked,flawless,515
